,1,2,3,4,5
,,,,,
37.0,2089.5,1871.5,1501.0,1842.0,1371.5
40.0,1152.0,,,,
41.0,835.5,809.5,,,
42.0,1120.0,851.5,1059.5,,
44.0,1335.5,693.5,,,
45.0,1186.5,,,,
49.0,797.0,,,,
50.0,1115.0,,,,
53.0,938.5,,,,
