,1,2,3,4,5
,,,,,
37.0,605.0,1005.0,1504.0,1401.0,1101.0
40.0,208.0,,,,
41.0,214.0,724.0,,,
42.0,202.0,524.0,1024.0,,
44.0,801.0,220.0,,,
45.0,205.0,,,,
49.0,1324.0,,,,
50.0,324.0,,,,
53.0,217.0,,,,
