,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,0.902830398930243,0.871908687381103,0.860775323051271,0.917217084984588,0.858043427504085,0.903954802259887,0.910037174721189,0.918209514881649,0.936378466557911,0.927962298025134,0.952333664349553,0.91725058391725,0.900519267559442,0.842798353909465,0.806445387881127,0.905199516324062,0.888165680473372,0.788865096359743,0.885695834678721
40,0.894757281553398,,,,,,,,,,,,,,,,,,
41,0.794201520912547,0.919363997728563,,,,,,,,,,,,,,,,,
42,0.85463563525372,0.869765066394279,0.714912280701754,,,,,,,,,,,,,,,,
44,0.765194412986032,0.952897040433514,0.927430555555555,0.895994832041343,,,,,,,,,,,,,,,
45,0.836501901140684,0.867045858514041,0.83556338028169,,,,,,,,,,,,,,,,
46,0.794426678848789,,,,,,,,,,,,,,,,,,
47,0.936624203821656,,,,,,,,,,,,,,,,,,
48,0.863202893784939,,,,,,,,,,,,,,,,,,
49,0.861234705228031,0.92181540808543,0.878374279648165,0.648494711147274,,,,,,,,,,,,,,,
50,0.944458999214042,0.874852883483719,,,,,,,,,,,,,,,,,
51,0.922184630256162,0.919479869967491,,,,,,,,,,,,,,,,,
53,0.841704035874439,,,,,,,,,,,,,,,,,,
55,0.903649635036496,,,,,,,,,,,,,,,,,,
56,0.899199246349505,0.918436926304746,0.938348623853211,,,,,,,,,,,,,,,,
60,0.94029304029304,,,,,,,,,,,,,,,,,,
63,0.934893489348934,,,,,,,,,,,,,,,,,,
67,0.908946050534941,,,,,,,,,,,,,,,,,,
69,0.926570779712339,0.926871484205971,,,,,,,,,,,,,,,,,
72,0.847246891651865,,,,,,,,,,,,,,,,,,
81,0.872762821476913,,,,,,,,,,,,,,,,,,
