,1,2,3,4,5
,,,,,
37.0,2.0,2.0,2.0,2.0,2.0
40.0,2.0,,,,
41.0,2.0,2.0,,,
42.0,2.0,2.0,2.0,,
44.0,2.0,2.0,,,
45.0,2.0,,,,
49.0,2.0,,,,
50.0,2.0,,,,
53.0,2.0,,,,
