,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,0.921510803110202,0.909580661251701,0.917534181614959,0.929492506166443,0.924747435823339,0.938094539829483,0.923152298193142,0.926545476907803,0.918757133734393,0.924667103110588,0.948828720770398,0.89698056637106,0.908786183701142,0.906969568146966,0.911133878400343,0.923378634865062,0.873413359723659,0.868737875763887,0.87555659805284
40,0.887150042208015,,,,,,,,,,,,,,,,,,
41,0.82292632353227,0.892746877312386,,,,,,,,,,,,,,,,,
42,0.857289424607854,0.874587499002639,0.875536717801404,,,,,,,,,,,,,,,,
44,0.903028761164108,0.92808655955524,0.89989500641356,0.873882885291679,,,,,,,,,,,,,,,
45,0.924238659158733,0.933977467467692,0.851932562926761,,,,,,,,,,,,,,,,
46,0.894114965457302,,,,,,,,,,,,,,,,,,
47,0.920509575929881,,,,,,,,,,,,,,,,,,
48,0.906129216291344,,,,,,,,,,,,,,,,,,
49,0.901547025224164,0.926810886286829,0.936335422078999,0.828426245341606,,,,,,,,,,,,,,,
50,0.932901611267101,0.864293919708187,,,,,,,,,,,,,,,,,
51,0.924131715776487,0.927571142026706,,,,,,,,,,,,,,,,,
53,0.853079470896226,,,,,,,,,,,,,,,,,,
55,0.926065461164302,,,,,,,,,,,,,,,,,,
56,0.900559313250969,0.874809945988151,0.876249120936829,,,,,,,,,,,,,,,,
60,0.831664854239101,,,,,,,,,,,,,,,,,,
63,0.848208749551832,,,,,,,,,,,,,,,,,,
67,0.831305961067336,,,,,,,,,,,,,,,,,,
69,0.84339313273945,0.864911283532721,,,,,,,,,,,,,,,,,
72,0.858226186622799,,,,,,,,,,,,,,,,,,
81,0.882434898480338,,,,,,,,,,,,,,,,,,
