,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,,,,,,,,,,,,,,,,,
37.0,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\1_0705_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\2_1105_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\3_1305_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\4_1504_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\5_1301_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\6_1001_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_155348_tube7_cropped_8bits\2_1205_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_155348_tube7_cropped_8bits\3_1504_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_155348_tube7_cropped_8bits\4_1502_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_155348_tube7_cropped_8bits\5_1201_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_155348_tube7_cropped_8bits\6_0901_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_154511_tube6_cropped_8bits\1_0705_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_154511_tube6_cropped_8bits\2_1005_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_154511_tube6_cropped_8bits\3_1305_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_154511_tube6_cropped_8bits\4_1504_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_154511_tube6_cropped_8bits\5_1401_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\1_0805_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\3_1205_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\4_1405_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\5_1503_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\6_1301_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\7_1001_0_8bits_BF.tiff
40.0,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\7_0801_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\19_0924_0_8bits_BF.tiff,,,,,,,,,,,,,,,,,,,,
43.0,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\10_0205_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\13_0213_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\16_0222_0_8bits_BF.tiff,,,,,,,,,,,,,,,,,,,
44.0,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\9_0202_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\14_0216_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\20_1224_0_8bits_BF.tiff,,,,,,,,,,,,,,,,,,,
45.0,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\15_0219_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_155348_tube7_cropped_8bits\18_0924_0_8bits_BF.tiff,,,,,,,,,,,,,,,,,,,,
46.0,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_160210_tube8_cropped_8bits\18_0624_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_155348_tube7_cropped_8bits\7_0701_0_8bits_BF.tiff,,,,,,,,,,,,,,,,,,,,
47.0,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_155348_tube7_cropped_8bits\10_0206_0_8bits_BF.tiff,,,,,,,,,,,,,,,,,,,,,
48.0,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_155348_tube7_cropped_8bits\16_0222_0_8bits_BF.tiff,,,,,,,,,,,,,,,,,,,,,
49.0,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_154511_tube6_cropped_8bits\19_0924_0_8bits_BF.tiff,F:\Experiments\PTT\Spheroids\01072025_mcf7\0307 after\Analysis\2025-07-03_153641_tube5_cropped_8bits\8_0701_0_8bits_BF.tiff,,,,,,,,,,,,,,,,,,,,
