,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
37,0.9411764705882352,1.0930232558139534,1.108695652173913,1.0,1.0416666666666667,0.8775510204081632,1.1224489795918366,1.0172413793103448,1.065217391304348,0.8181818181818182,1.068181818181818,0.9629629629629628,0.9215686274509804,1.1702127659574468,0.7419354838709677,0.9767441860465116,1.530612244897959,1.1403508771929824,1.1521739130434785,1.1020408163265305,0.9375,1.0444444444444445
40,0.9767441860465116,0.9230769230769232,,,,,,,,,,,,,,,,,,,,
43,1.1025641025641026,0.8235294117647058,0.9761904761904762,,,,,,,,,,,,,,,,,,,
44,1.0731707317073171,1.1666666666666667,1.0833333333333333,,,,,,,,,,,,,,,,,,,
45,1.1578947368421053,1.1612903225806452,,,,,,,,,,,,,,,,,,,,
46,0.8636363636363636,0.96,,,,,,,,,,,,,,,,,,,,
47,1.0,,,,,,,,,,,,,,,,,,,,,
48,1.0851063829787233,,,,,,,,,,,,,,,,,,,,,
49,0.9722222222222222,0.9803921568627452,,,,,,,,,,,,,,,,,,,,
50,0.9111111111111112,,,,,,,,,,,,,,,,,,,,,
51,1.0851063829787233,0.851063829787234,,,,,,,,,,,,,,,,,,,,
52,0.9767441860465116,,,,,,,,,,,,,,,,,,,,,
53,1.1451612903225807,,,,,,,,,,,,,,,,,,,,,
54,1.0851063829787233,,,,,,,,,,,,,,,,,,,,,
55,1.2424242424242424,,,,,,,,,,,,,,,,,,,,,
56,0.9347826086956522,0.7619047619047619,1.2127659574468086,1.2941176470588236,,,,,,,,,,,,,,,,,,
57,0.8780487804878049,,,,,,,,,,,,,,,,,,,,,
58,1.0425531914893618,1.3658536585365857,,,,,,,,,,,,,,,,,,,,
59,0.8478260869565217,,,,,,,,,,,,,,,,,,,,,
60,0.8490566037735849,1.7647058823529411,,,,,,,,,,,,,,,,,,,,
62,1.434782608695652,0.803921568627451,,,,,,,,,,,,,,,,,,,,
63,1.0454545454545454,0.7959183673469388,,,,,,,,,,,,,,,,,,,,
65,1.15,0.9019607843137256,,,,,,,,,,,,,,,,,,,,
67,0.9696969696969696,,,,,,,,,,,,,,,,,,,,,
68,0.8135593220338984,,,,,,,,,,,,,,,,,,,,,
69,0.95,0.9761904761904762,0.9047619047619048,,,,,,,,,,,,,,,,,,,
71,0.9130434782608696,,,,,,,,,,,,,,,,,,,,,
73,1.0,1.3157894736842106,,,,,,,,,,,,,,,,,,,,
74,1.065217391304348,,,,,,,,,,,,,,,,,,,,,
79,1.0,,,,,,,,,,,,,,,,,,,,,
87,1.0212765957446808,,,,,,,,,,,,,,,,,,,,,
