,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
37,117.17448888888887,118.87093333333333,119.68093333333331,95.15190156599552,112.08644444444444,114.72617777777778,119.29217777777778,107.52622222222222,116.02706666666668,114.7456,113.66048888888888,114.46622222222224,116.23093333333334,103.09155555555556,102.22457777777778,103.88231111111112,116.69702222222222,105.64906148867314,109.63742222222224,117.13106666666668,117.50857777777776,115.22062222222222
40,112.96444444444444,118.49675555555557,,,,,,,,,,,,,,,,,,,,
43,104.0636,105.60044444444443,104.98164444444444,,,,,,,,,,,,,,,,,,,
44,104.48391111111113,106.27835555555556,91.8348,,,,,,,,,,,,,,,,,,,
45,108.48102222222222,104.89828382838284,,,,,,,,,,,,,,,,,,,,
46,115.40315555555556,115.22866666666668,,,,,,,,,,,,,,,,,,,,
47,115.40257777777778,,,,,,,,,,,,,,,,,,,,,
48,118.94675555555555,,,,,,,,,,,,,,,,,,,,,
49,116.51097777777778,108.26316939890712,,,,,,,,,,,,,,,,,,,,
50,108.45044444444444,,,,,,,,,,,,,,,,,,,,,
51,102.9272,118.39484444444444,,,,,,,,,,,,,,,,,,,,
52,115.81097777777778,,,,,,,,,,,,,,,,,,,,,
53,112.06688888888888,,,,,,,,,,,,,,,,,,,,,
54,106.14368888888887,,,,,,,,,,,,,,,,,,,,,
55,121.72742222222222,,,,,,,,,,,,,,,,,,,,,
56,101.45706666666666,117.79568888888888,107.84648888888889,107.60848888888889,,,,,,,,,,,,,,,,,,
57,109.41968888888889,,,,,,,,,,,,,,,,,,,,,
58,90.83368888888889,126.42253333333332,,,,,,,,,,,,,,,,,,,,
59,120.38333333333334,,,,,,,,,,,,,,,,,,,,,
60,112.36444444444444,112.67715555555556,,,,,,,,,,,,,,,,,,,,
62,119.23106666666666,124.84657777777778,,,,,,,,,,,,,,,,,,,,
63,120.468,119.9484,,,,,,,,,,,,,,,,,,,,
65,111.74066666666668,120.32511111111111,,,,,,,,,,,,,,,,,,,,
67,118.39,,,,,,,,,,,,,,,,,,,,,
68,118.81315555555555,,,,,,,,,,,,,,,,,,,,,
69,95.95390070921984,118.73897777777778,124.46084444444443,,,,,,,,,,,,,,,,,,,
71,129.37262222222222,,,,,,,,,,,,,,,,,,,,,
73,106.52222222222224,110.47853333333332,,,,,,,,,,,,,,,,,,,,
74,124.27551111111111,,,,,,,,,,,,,,,,,,,,,
79,114.6208,,,,,,,,,,,,,,,,,,,,,
87,119.2508,,,,,,,,,,,,,,,,,,,,,
