,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,,,,,,,,,,,,,,,,,
37.0,0.799424599036146,0.8104447961852908,0.8126965602371603,0.7911824858539286,0.8581782410395857,0.7498729677593589,0.8151348396727037,0.7675007007468637,0.8784750928684207,0.7644365103239312,0.8040824845449756,0.8094310460518966,0.8446469297444837,0.7473849084096321,0.6593336343495346,0.8191814679033189,0.6237152454638897,0.6185433447447846,0.7529780486821436,0.7989745491452022,0.8574907220574391,0.781935068594107
40.0,0.8305458392756477,0.854237980651797,,,,,,,,,,,,,,,,,,,,
43.0,0.8068047511543661,0.5560383603812845,0.6544304254460561,,,,,,,,,,,,,,,,,,,
44.0,0.8136297280745619,0.7806255410189077,0.7343090986417568,,,,,,,,,,,,,,,,,,,
45.0,0.6948576529107788,0.8233562783245312,,,,,,,,,,,,,,,,,,,,
46.0,0.7204170477421475,0.7141602501048958,,,,,,,,,,,,,,,,,,,,
47.0,0.7501163952681124,,,,,,,,,,,,,,,,,,,,,
48.0,0.5879420183810511,,,,,,,,,,,,,,,,,,,,,
49.0,0.7813906722283497,0.7536627706736851,,,,,,,,,,,,,,,,,,,,
50.0,0.7143313645817371,,,,,,,,,,,,,,,,,,,,,
51.0,0.6550086505019306,0.7187799168706259,,,,,,,,,,,,,,,,,,,,
52.0,0.7267339024835772,,,,,,,,,,,,,,,,,,,,,
53.0,0.2719650238406871,,,,,,,,,,,,,,,,,,,,,
54.0,0.4670190031363438,,,,,,,,,,,,,,,,,,,,,
55.0,0.7337349761349238,,,,,,,,,,,,,,,,,,,,,
56.0,0.8145884350078355,0.6301043101379887,0.3970852683540689,0.7111050032387715,,,,,,,,,,,,,,,,,,
57.0,0.6854243126985253,,,,,,,,,,,,,,,,,,,,,
58.0,0.732583382347029,0.4183295987082751,,,,,,,,,,,,,,,,,,,,
59.0,0.5693297049263051,,,,,,,,,,,,,,,,,,,,,
60.0,0.643862342594067,0.4564235153492207,,,,,,,,,,,,,,,,,,,,
62.0,0.492323697534187,0.6817020236118234,,,,,,,,,,,,,,,,,,,,
63.0,0.7117456702799375,0.6887217808823074,,,,,,,,,,,,,,,,,,,,
65.0,0.6657230353927959,0.6306370192683489,,,,,,,,,,,,,,,,,,,,
67.0,0.6564678332078804,,,,,,,,,,,,,,,,,,,,,
68.0,0.7280536295308674,,,,,,,,,,,,,,,,,,,,,
69.0,0.7461874891446313,0.734277566860559,0.8135702212618031,,,,,,,,,,,,,,,,,,,
71.0,0.7564361560421355,,,,,,,,,,,,,,,,,,,,,
73.0,0.7873153392847524,0.6219195842241032,,,,,,,,,,,,,,,,,,,,
74.0,0.7209409821652267,,,,,,,,,,,,,,,,,,,,,
79.0,0.8264200771329201,,,,,,,,,,,,,,,,,,,,,
87.0,0.752371045215548,,,,,,,,,,,,,,,,,,,,,
