,1,2,3,4,5,6,7,8,9,10,11,12,13,14
37,92.90641085634068,91.53880266075387,98.45745992601726,87.7688588007737,79.25215889464594,78.77385772122614,75.01559322033899,95.04294478527608,84.72487160674982,75.45536114849709,98.84038461538462,85.3540258143823,98.6020979020979,95.58001306335728
40,87.72419774501302,,,,,,,,,,,,,
41,89.96636363636364,,,,,,,,,,,,,
42,95.51881505204165,69.893470790378,,,,,,,,,,,,
43,91.44337527757216,93.40398009950248,,,,,,,,,,,,
44,87.55225080385853,92.06404657933042,,,,,,,,,,,,
46,73.30197628458498,76.04019138755982,94.91173304628632,,,,,,,,,,,
50,61.561815336463226,76.06575682382135,102.32974559686888,93.73779637377964,85.92172523961662,,,,,,,,,
51,86.83045685279188,,,,,,,,,,,,,
52,86.22689075630252,78.03426791277259,90.54346182917612,,,,,,,,,,,
53,101.87081565299388,70.67143879742305,79.24495677233429,,,,,,,,,,,
58,59.51486880466472,69.40116618075801,,,,,,,,,,,,
59,62.23335369578497,45.87169811320755,,,,,,,,,,,,
60,47.16825863335782,33.300053966540744,83.00239952009598,,,,,,,,,,,
61,77.9966592427617,45.73884297520661,,,,,,,,,,,,
64,80.80633802816901,49.93258426966292,,,,,,,,,,,,
65,77.96325459317585,,,,,,,,,,,,,
67,54.92318982387476,52.24187725631769,,,,,,,,,,,,
69,87.27258064516128,,,,,,,,,,,,,
70,76.47173913043478,,,,,,,,,,,,,
73,67.88833746898263,,,,,,,,,,,,,
75,56.31144465290807,,,,,,,,,,,,,
