,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,0.825737270602904,0.762601818333071,0.767759456701316,0.954790833939521,0.596507809693185,0.768140868811968,0.95001063448865,0.917337259932039,0.933328302153522,0.614741144942632,0.692992579712687,0.905072566306972,0.887888838163431,0.890755540335203,0.811783546200799,0.770607561016848,0.855874142924989,0.587177072070968,0.895502972044647
40,0.872496481253811,,,,,,,,,,,,,,,,,,
41,0.760763656954273,0.906739158581806,,,,,,,,,,,,,,,,,
42,0.908339362200362,0.912865181705389,0.637281078368877,,,,,,,,,,,,,,,,
44,0.512583919931757,0.854445347432043,0.784997633280122,0.973657968679535,,,,,,,,,,,,,,,
45,0.906197606709779,0.757147634875875,0.651424368796065,,,,,,,,,,,,,,,,
46,0.850441183481209,,,,,,,,,,,,,,,,,,
47,0.830837513415004,,,,,,,,,,,,,,,,,,
48,0.875882392517427,,,,,,,,,,,,,,,,,,
49,0.740701237192305,0.881937053222181,0.633207016088253,0.755515284513122,,,,,,,,,,,,,,,
50,0.879655764153286,0.874175470819696,,,,,,,,,,,,,,,,,
51,0.97992941005662,0.8466630719427,,,,,,,,,,,,,,,,,
53,0.801293486755234,,,,,,,,,,,,,,,,,,
55,0.621888960813074,,,,,,,,,,,,,,,,,,
56,0.851568573058584,0.938146110986528,0.905979760970077,,,,,,,,,,,,,,,,
60,0.841198002239433,,,,,,,,,,,,,,,,,,
63,0.840480688249382,,,,,,,,,,,,,,,,,,
67,0.90496971831798,,,,,,,,,,,,,,,,,,
69,0.880876966778434,0.828451679139389,,,,,,,,,,,,,,,,,
72,0.86279419709912,,,,,,,,,,,,,,,,,,
81,0.548720397395344,,,,,,,,,,,,,,,,,,
