,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,0.897367031123309,0.88288014921436,0.898488112469095,0.890599108615945,0.876704200853562,0.896225103733384,0.915538631894962,0.898444162888103,0.893955012046581,0.868946761541261,0.88647456222824,0.854087054570803
40.0,0.917276483575531,,,,,,,,,,,
41.0,0.927956617427267,,,,,,,,,,,
42.0,0.909241125362226,0.938390021216915,,,,,,,,,,
43.0,0.907013259420936,0.928475909475482,,,,,,,,,,
44.0,0.9019838268821,0.920721406915925,,,,,,,,,,
46.0,0.926220119595226,0.932964448756127,0.910975567753173,,,,,,,,,
50.0,0.928141286209186,0.97025823366421,0.901244477228785,0.912086926200405,0.874967053559331,0.89205019906256,,,,,,
51.0,0.930909313253861,,,,,,,,,,,
52.0,0.899710641079662,0.902408499932938,0.904465419515207,,,,,,,,,
53.0,0.925771789375077,0.877432133820983,0.881246071128362,,,,,,,,,
58.0,0.890223711678855,0.8936907610765,,,,,,,,,,
59.0,0.906834391124059,0.906574505958989,,,,,,,,,,
60.0,0.869517250857226,0.959854661147641,0.877342840963476,,,,,,,,,
61.0,0.884422701176428,0.898983037564806,,,,,,,,,,
64.0,0.901114777089257,0.896086986934408,,,,,,,,,,
65.0,0.913752923884592,,,,,,,,,,,
67.0,0.857624650788307,0.922103304490047,,,,,,,,,,
69.0,0.915716921281103,,,,,,,,,,,
70.0,0.904832216424451,,,,,,,,,,,
73.0,0.873401051679127,,,,,,,,,,,
81.0,0.847844527922466,,,,,,,,,,,
