,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,0.907734897645243,0.887975832044994,0.880663101941389,0.904810815281146,0.883306980093851,0.883603082802348,0.894723593214511,0.90166448224053,0.900917863348161,0.894956345950687
42.0,0.917281112005905,0.891604999206786,,,,,,,,
43.0,0.899577720917253,,,,,,,,,
44.0,0.908555548021844,0.907499770505375,,,,,,,,
45.0,0.873771805356996,,,,,,,,,
46.0,0.905461773255496,,,,,,,,,
48.0,0.926882361394606,0.898074691693518,,,,,,,,
52.0,0.900626340895663,0.912242478962331,0.888033145477239,0.881901398424999,,,,,,
53.0,0.850784868147714,,,,,,,,,
57.0,0.900663738834533,0.898829685290922,,,,,,,,
60.0,0.867287722518519,0.873221328587396,,,,,,,,
62.0,0.851535081014734,,,,,,,,,
64.0,0.844234025675216,,,,,,,,,
66.0,0.889992169248372,,,,,,,,,
68.0,0.87342995646802,,,,,,,,,
69.0,0.830424269227626,,,,,,,,,
70.0,0.908976693758198,,,,,,,,,
71.0,0.858841646649955,0.842130608463668,,,,,,,,
79.0,0.854694703485245,,,,,,,,,
85.0,0.858700393333245,,,,,,,,,
