,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
37.0,0.889387144992526,0.829496090356212,0.831357367529639,0.915463917525773,0.925129725722757,0.905785562632696,0.855052068674359,0.875879487642071,0.835526315789473,0.85574476414171,0.840104849279161,0.887425658453695,0.871332774518021,0.733499377334993,0.666155026861089,0.904882154882154,0.707644628099173,0.813679245283018
40.0,0.828852459016393,0.938421052631578,,,,,,,,,,,,,,,,
42.0,0.885803676183027,0.726289774482545,,,,,,,,,,,,,,,,
43.0,0.92950745594216,,,,,,,,,,,,,,,,,
44.0,0.82251998119417,,,,,,,,,,,,,,,,,
46.0,0.873151308304892,0.710237336167198,0.930593253198914,,,,,,,,,,,,,,,
47.0,0.677118475888073,0.702457466918714,,,,,,,,,,,,,,,,
48.0,0.840131973605278,0.895628600474415,,,,,,,,,,,,,,,,
49.0,0.84144015259895,0.819356411506582,,,,,,,,,,,,,,,,
50.0,0.711147274206672,,,,,,,,,,,,,,,,,
51.0,0.909090909090909,0.902463549522373,,,,,,,,,,,,,,,,
52.0,0.8522378908645,0.864071263609369,0.685450819672131,,,,,,,,,,,,,,,
53.0,0.873650960779152,,,,,,,,,,,,,,,,,
54.0,0.925837320574162,0.731029568934805,,,,,,,,,,,,,,,,
55.0,0.904809619238476,,,,,,,,,,,,,,,,,
56.0,0.834713719841555,0.814102564102564,,,,,,,,,,,,,,,,
57.0,0.865994236311239,,,,,,,,,,,,,,,,,
58.0,0.788312804354053,0.933096506808762,,,,,,,,,,,,,,,,
59.0,0.638405390230207,,,,,,,,,,,,,,,,,
61.0,0.836657169990503,0.939148073022312,0.84846547314578,,,,,,,,,,,,,,,
63.0,0.885935234412759,0.809380378657487,,,,,,,,,,,,,,,,
66.0,0.847328244274809,0.674020823004462,,,,,,,,,,,,,,,,
67.0,0.810758620689655,,,,,,,,,,,,,,,,,
72.0,0.842794759825327,,,,,,,,,,,,,,,,,
77.0,0.782816229116945,,,,,,,,,,,,,,,,,
