,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,,,,,,,,,,
42.0,,,,,,,,,,
43.0,,,,,,,,,,
44.0,,,,,,,,,,
45.0,,,,,,,,,,
46.0,,,,,,,,,,
48.0,,,,,,,,,,
52.0,,,,,,,,,,
53.0,,,,,,,,,,
57.0,,,,,,,,,,
60.0,,,,,,,,,,
62.0,,,,,,,,,,
64.0,,,,,,,,,,
66.0,,,,,,,,,,
68.0,,,,,,,,,,
69.0,,,,,,,,,,
70.0,,,,,,,,,,
71.0,,,,,,,,,,
79.0,,,,,,,,,,
85.0,,,,,,,,,,
