,1,2,3,4,5,6,7,8,9,10,11,12
37,0.9148821849813282,0.923446684100754,0.932908919053938,0.931726806877154,0.9374683490827758,0.8938763789397283,0.9114686557353144,0.9239251256437536,0.905505976917536,0.920289666459352,0.9107190429791728,0.9228415580766296
40,0.9402758614226416,,,,,,,,,,,
41,0.94178873433561,0.9304302602396805,0.9414910959519878,0.9458471930114528,0.9414903042563946,,,,,,,
42,0.9492783475364728,,,,,,,,,,,
43,0.9310676616279996,0.9242036920669838,,,,,,,,,,
44,0.9339927968150764,0.9407664484619672,0.9433763691335512,0.9258240827018334,,,,,,,,
46,0.9452553936185114,0.9405793533129936,0.931384434687142,0.9586744347243288,,,,,,,,
47,0.9398937552115544,,,,,,,,,,,
48,0.9501572133869876,0.944461590228228,,,,,,,,,,
49,0.9472419713997154,,,,,,,,,,,
50,0.9390910096764918,0.894473165752566,,,,,,,,,,
52,0.9483957299710558,,,,,,,,,,,
54,0.9345231671477116,,,,,,,,,,,
55,0.9493361957384612,,,,,,,,,,,
56,0.9441306251944772,,,,,,,,,,,
58,0.886911039048135,,,,,,,,,,,
59,0.9305261014533608,0.9539440920672078,,,,,,,,,,
60,0.9536325208601778,,,,,,,,,,,
63,0.9480502696012748,,,,,,,,,,,
65,0.9618918210146205,,,,,,,,,,,
66,0.944372334206036,,,,,,,,,,,
67,0.9215407313716348,0.8911723152697762,0.9625305861540838,,,,,,,,,
74,0.9645691580597572,,,,,,,,,,,
77,0.9533001251158484,,,,,,,,,,,
