,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,0.852393529930291,0.894994971091098,0.902559845457504,0.880505379703111,0.90409745578678,0.907510641074416,0.825942769380947,0.865202965924466,0.907156102468315,0.881012103845572
42.0,0.911573188077483,0.923319950913008,,,,,,,,
43.0,0.896173312986722,,,,,,,,,
44.0,0.927703179198607,0.939256558003229,,,,,,,,
45.0,0.930116725929213,,,,,,,,,
46.0,0.89541283873135,,,,,,,,,
48.0,0.903948591745667,0.925450110108868,,,,,,,,
52.0,0.929635466786071,0.906267172957448,0.923726947348057,0.930820165231663,,,,,,
53.0,0.918718230059065,,,,,,,,,
57.0,0.931143928031025,0.931206650139015,,,,,,,,
60.0,0.919051056457898,0.963044205478299,,,,,,,,
62.0,0.932877350161141,,,,,,,,,
64.0,0.936092205142626,,,,,,,,,
66.0,0.913826698378368,,,,,,,,,
68.0,0.921358127039828,,,,,,,,,
69.0,0.929693158815271,,,,,,,,,
70.0,0.9233010885294,,,,,,,,,
71.0,0.921982276407035,0.925938364347819,,,,,,,,
79.0,0.934942231751652,,,,,,,,,
85.0,0.908337609448251,,,,,,,,,
