,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
37.0,0.900629247278927,0.907863580362117,0.916339340684911,0.914873982390739,0.906178632247194,0.914762565957925,0.926328267017504,0.883881046661788,0.925202791931,0.895003855559237,0.906966558293445,0.948566669076574,0.948608398807983,0.968965029313634,0.932699284441246,0.947136761499076,0.963646605927694,0.938690280756643
40.0,0.967788687819701,0.956028639830401,,,,,,,,,,,,,,,,
42.0,0.944470217588821,0.940359290480723,,,,,,,,,,,,,,,,
43.0,0.949703631046241,,,,,,,,,,,,,,,,,
44.0,0.915566387012772,,,,,,,,,,,,,,,,,
46.0,0.925733399052581,0.949083002382229,0.94145664971641,,,,,,,,,,,,,,,
47.0,0.914669189290956,0.951857496804528,,,,,,,,,,,,,,,,
48.0,0.931329195954917,0.935526813592265,,,,,,,,,,,,,,,,
49.0,0.914383891204877,0.917709821079898,,,,,,,,,,,,,,,,
50.0,0.933625308508148,,,,,,,,,,,,,,,,,
51.0,0.909940452449383,0.955690260701683,,,,,,,,,,,,,,,,
52.0,0.93231023391654,0.936064008557027,0.9315880021106,,,,,,,,,,,,,,,
53.0,0.919666282244552,,,,,,,,,,,,,,,,,
54.0,0.907938491556972,0.94742330635781,,,,,,,,,,,,,,,,
55.0,0.955428916987927,,,,,,,,,,,,,,,,,
56.0,0.925455465900807,0.961161129746233,,,,,,,,,,,,,,,,
57.0,0.9273593880692,,,,,,,,,,,,,,,,,
58.0,0.932034384628536,0.961075030515119,,,,,,,,,,,,,,,,
59.0,0.941710743415233,,,,,,,,,,,,,,,,,
61.0,0.915228766335753,0.965286076370533,0.966336537661874,,,,,,,,,,,,,,,
63.0,0.954645780843016,0.953149139476289,,,,,,,,,,,,,,,,
66.0,0.903878776709051,0.930392503113824,,,,,,,,,,,,,,,,
67.0,0.928319082203989,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
72.0,0.96110950445981,,,,,,,,,,,,,,,,,
77.0,0.888594877217568,,,,,,,,,,,,,,,,,
