,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
37.0,0.651185323384485,0.531547792893854,0.487837975329319,0.686018940905448,0.694648270985495,0.667071999537688,0.597677133603204,0.48515356668673,0.491489080611509,0.53218033327983,0.521820251303089,0.634388378260818,0.600433885678227,0.375342373662283,0.228341568641083,0.658263480146219,0.295871111729837,0.462380569972596
40.0,0.544517739187046,0.760700041403841,,,,,,,,,,,,,,,,
42.0,0.660282527074017,0.320724320755118,,,,,,,,,,,,,,,,
43.0,0.721503236090184,,,,,,,,,,,,,,,,,
44.0,0.525133075083526,,,,,,,,,,,,,,,,,
46.0,0.598411787729432,0.363651461457443,0.708575626342481,,,,,,,,,,,,,,,
47.0,0.290752950155394,0.30213257167428,,,,,,,,,,,,,,,,
48.0,0.538322345671452,0.630233360695107,,,,,,,,,,,,,,,,
49.0,0.515997670717927,0.452104478393035,,,,,,,,,,,,,,,,
50.0,0.309511770332719,,,,,,,,,,,,,,,,,
51.0,0.665818141120651,0.6654733430796,,,,,,,,,,,,,,,,
52.0,0.596979057729568,0.561745492271055,0.261856372476788,,,,,,,,,,,,,,,
53.0,0.592295020049871,,,,,,,,,,,,,,,,,
54.0,0.741780541569525,0.34057438333117,,,,,,,,,,,,,,,,
55.0,0.675617914374016,,,,,,,,,,,,,,,,,
56.0,0.495777746040857,0.514479361833275,,,,,,,,,,,,,,,,
57.0,0.545023760039909,,,,,,,,,,,,,,,,,
58.0,0.459994033070189,0.772009407711675,,,,,,,,,,,,,,,,
59.0,0.246301403541132,,,,,,,,,,,,,,,,,
61.0,0.556108758026911,0.739044174819602,0.558500777743578,,,,,,,,,,,,,,,
63.0,0.591847269063209,0.459791869301641,,,,,,,,,,,,,,,,
66.0,0.554174533846973,0.259155463265837,,,,,,,,,,,,,,,,
67.0,0.495992323598398,,,,,,,,,,,,,,,,,
72.0,0.563114299002166,,,,,,,,,,,,,,,,,
77.0,0.408752075716436,,,,,,,,,,,,,,,,,
