,1,2,3,4,5,6,7,8,9,10,11,12
37,1.0784313725490196,0.9807692307692308,1.162790697674419,1.0425531914893618,0.9565217391304348,1.0701754385964912,0.8571428571428571,0.9591836734693876,0.8793103448275862,1.2916666666666667,0.9056603773584906,0.9215686274509804
40,1.170731707317073,,,,,,,,,,,
41,0.9555555555555556,0.8958333333333334,1.0238095238095235,1.0238095238095235,1.069767441860465,,,,,,,
42,0.951219512195122,,,,,,,,,,,
43,1.0217391304347827,1.2682926829268293,,,,,,,,,,
44,1.022222222222222,0.9148936170212766,1.0,1.948717948717949,,,,,,,,
46,1.0238095238095235,0.6333333333333333,1.108695652173913,0.8780487804878049,,,,,,,,
47,0.9166666666666666,,,,,,,,,,,
48,1.1578947368421053,0.975,,,,,,,,,,
49,0.9387755102040816,,,,,,,,,,,
50,0.9777777777777776,1.5471698113207548,,,,,,,,,,
52,0.9047619047619048,,,,,,,,,,,
54,0.9183673469387756,,,,,,,,,,,
55,1.0,,,,,,,,,,,
56,0.9347826086956522,,,,,,,,,,,
58,1.8846153846153848,,,,,,,,,,,
59,1.0217391304347827,1.0952380952380951,,,,,,,,,,
60,1.1111111111111112,,,,,,,,,,,
63,0.782608695652174,,,,,,,,,,,
65,1.2727272727272727,,,,,,,,,,,
66,1.125,,,,,,,,,,,
67,0.9107142857142856,1.8823529411764703,1.0,,,,,,,,,
74,1.0,,,,,,,,,,,
77,1.0810810810810811,,,,,,,,,,,
