,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,0.906714253143567,0.9167807458841528,0.928010558363748,0.9271155342076574,0.9331556839303836,0.8858110781852218,0.9059975657625444,0.9181672334986593,0.8981681252483067,0.9135592032534324,0.9044938861786552,0.9168258362313708
40.0,0.9366902893735944,,,,,,,,,,,
41.0,0.9365563429838712,0.9256838918267648,0.9363772991354776,0.941075157701064,0.9377641310559112,,,,,,,
42.0,0.9451019060504768,,,,,,,,,,,
43.0,0.925862969470924,0.9174521424617966,,,,,,,,,,
44.0,0.928637105312976,0.9354378349016744,0.9391513605593772,0.9174523401521252,,,,,,,,
46.0,0.9397331860854355,0.9371823316410832,0.9255052662183492,0.9560187373131972,,,,,,,,
47.0,0.9358401856057528,,,,,,,,,,,
48.0,0.9474729718075616,0.9408065953119924,,,,,,,,,,
49.0,0.9443410140691046,,,,,,,,,,,
50.0,0.9355716488148372,0.883762142165724,,,,,,,,,,
52.0,0.9439834622820966,,,,,,,,,,,
54.0,0.9273407003575797,,,,,,,,,,,
55.0,0.9438493239000848,,,,,,,,,,,
56.0,0.9411196206455626,,,,,,,,,,,
58.0,0.8783477782477012,,,,,,,,,,,
59.0,0.9242975913447384,0.94877085571834,,,,,,,,,,
60.0,0.9499273770600356,,,,,,,,,,,
63.0,0.9416126687067592,,,,,,,,,,,
65.0,0.9574508327077096,,,,,,,,,,,
66.0,0.939062053781066,,,,,,,,,,,
67.0,0.913738854023485,0.8836270938484964,0.9590165059001606,,,,,,,,,
74.0,0.9591511227052588,,,,,,,,,,,
77.0,0.9479657690760096,,,,,,,,,,,
