,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
37.0,0.951040161097616,0.944756501947071,0.9372624235024272,0.917993358187049,0.9294958700965024,0.942402005258366,0.9261974624215448,0.9316694644591056,0.93428736808195,0.927413066924721,0.9362812139685738,0.9527844730187622
40.0,0.9169994217943108,,,,,,,,,,,
41.0,0.9270450376522495,0.92814752036368,0.940070005451486,0.9271211187774288,0.9156790102999088,,,,,,,
42.0,0.9144224186968574,,,,,,,,,,,
43.0,0.9245751640818036,0.932146252342846,,,,,,,,,,
44.0,0.935516606353062,0.9219131845466886,0.9193125909910628,0.9369210552650628,,,,,,,,
46.0,0.9218206356315602,0.8979135617585752,0.922017304383644,0.9022756694332792,,,,,,,,
47.0,0.9088448575039156,,,,,,,,,,,
48.0,0.8989458145250037,0.9232632966711732,,,,,,,,,,
49.0,0.889381031797107,,,,,,,,,,,
50.0,0.9119240914913392,0.9342551335088508,,,,,,,,,,
52.0,0.917039956887497,,,,,,,,,,,
54.0,0.9085768127219016,,,,,,,,,,,
55.0,0.8973417245827672,,,,,,,,,,,
56.0,0.9000561707977411,,,,,,,,,,,
58.0,0.8767719157579155,,,,,,,,,,,
59.0,0.9028162679766648,0.90144760971115,,,,,,,,,,
60.0,0.8835946313216724,,,,,,,,,,,
63.0,0.8891225652829743,,,,,,,,,,,
65.0,0.859509591690999,,,,,,,,,,,
66.0,0.9098291280545248,,,,,,,,,,,
67.0,0.868834698655615,0.882473869571218,0.8374426261381267,,,,,,,,,
74.0,0.8343684783010956,,,,,,,,,,,
77.0,0.8768419926694482,,,,,,,,,,,
