,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,0.622441276378097,0.645147318990755,0.66546657232844,0.57932485407947,0.546383303237072,0.55017238912352,0.546815871798702,0.509558521793205,0.52070104954772,0.749288583635273
42.0,0.621700909605107,0.643488335906818,,,,,,,,
43.0,0.668100239324557,,,,,,,,,
44.0,0.672362023375397,0.65694662270209,,,,,,,,
45.0,0.219084724583941,,,,,,,,,
46.0,0.344888172164844,,,,,,,,,
48.0,0.655196839334992,0.747740348322673,,,,,,,,
52.0,0.452591210267476,0.528632520522057,0.533934508459905,0.459517539617923,,,,,,
53.0,0.715025131735502,,,,,,,,,
57.0,0.573296179919883,0.600312464920745,,,,,,,,
60.0,0.347681063772718,0.617668850714668,,,,,,,,
62.0,0.664935345556182,,,,,,,,,
64.0,0.547238367204606,,,,,,,,,
66.0,0.602194611036664,,,,,,,,,
68.0,0.693104600610651,,,,,,,,,
69.0,0.56714855302169,,,,,,,,,
70.0,0.652878670994032,,,,,,,,,
71.0,0.694391076826769,0.653339658116667,,,,,,,,
79.0,0.566701697558325,,,,,,,,,
85.0,0.533317338345106,,,,,,,,,
