,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,0.901670025914195,0.894117647058823,0.887247447316967,0.879186393126424,0.853364867770372,0.86131714992133,0.897330097087378,0.862837941041698,0.842819614711033,0.943092474728566
42.0,0.886358187485015,0.905204460966542,,,,,,,,
43.0,0.904288377874456,,,,,,,,,
44.0,0.907575757575757,0.918720117690327,,,,,,,,
45.0,0.747161451121573,,,,,,,,,
46.0,0.740141208885827,,,,,,,,,
48.0,0.911241270556431,0.948302233098807,,,,,,,,
52.0,0.788319166438168,0.822971548998946,0.847046128945238,0.82051282051282,,,,,,
53.0,0.921339139902014,,,,,,,,,
57.0,0.871636251159913,0.893468611287254,,,,,,,,
60.0,0.737196765498652,0.858727378867484,,,,,,,,
62.0,0.913747521480502,,,,,,,,,
64.0,0.830194701563996,,,,,,,,,
66.0,0.896155766350474,,,,,,,,,
68.0,0.926125106142088,,,,,,,,,
69.0,0.854891465953018,,,,,,,,,
70.0,0.891152665364219,,,,,,,,,
71.0,0.910924369747899,0.902998236331569,,,,,,,,
79.0,0.860291734197731,,,,,,,,,
85.0,0.858012170385395,,,,,,,,,
