,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
37,0.90868217251279,0.9263101263507392,0.9222833210194364,0.92500177021264,0.916735917551568,0.9299790682156728,0.9091742054401488,0.8936495090470281,0.9198228175496516,0.9169144071769924,0.9254153185482574,0.9087269718663988,0.9152593157856695,0.9116356530893276,0.9160200847251208,0.937272248976577,0.8842535352603704,0.8393881040417862,0.9137827668502334,0.9122165821961672,0.9247889440485532,0.9302474736035836,0.8947229651523843,0.8723527074986342,0.8861771707898022,0.8541429974239365,0.8778558660338619,0.878080459385678,0.8958867358413681,0.9192410624776576,0.903313326089936,0.8779454640050646,0.897138667201297,0.8846117717831777,0.8982125012161435,0.8915459807520782,0.9029103515761404,0.9088087365955502,0.918883401255771,0.9272499262694,0.912485012258944,0.9356612486276406,0.9092191610971336,0.917764732357526,0.9029556262985612,0.9359298383171956,0.9210755572014064,0.927652568594546,0.908324594601812,0.9015238036990746,0.9525736184968682,0.9513655354514652,0.9136038406983308,0.9000024957132828,0.8881918863679147,0.9138277362175896
40,0.932126703556371,0.9506048360514376,0.9184806102106476,0.9456386249252664,0.9561529601488756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.9277867469287472,0.9586140237386556,0.9622380804811091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.9130221552791092,0.938659162517112,0.9468019472945058,0.9592847940454718,0.9473834568540224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.9429095990491032,0.9370040013554488,0.94474400494489,0.9087715074199498,0.9283682947217478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.9360194038425556,0.9445651110976382,0.9513207017505128,0.9213888241583172,0.9043868482959376,0.9355270944510118,0.9675619966118502,0.9533789627065606,0.9445206238322414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.9450122665953788,0.9419246217780096,0.9452806575420104,0.931861005333772,0.8715916823938156,0.9125308315093388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.9464439016848174,0.9282339502757128,0.910518242823471,0.9271156302960826,0.9338267167316012,0.957539899398081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.9498444031485548,0.928815969740988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.9287261821263068,0.9368694032180502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.9574951279555712,0.9029622415533396,0.958524225619781,0.9247890003313476,0.9724391766297744,0.9353040045192422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.9397326508478844,0.8754863482147194,0.8915919908487456,0.9297999005708822,0.9028662314526236,0.9134693016120266,0.9455043693602996,0.9138290380332468,0.9196009411292676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.9310531764171892,0.937898320642046,0.9308289830462274,0.9096670082139235,0.914722531717176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.9406284402881184,0.8994657580534484,0.9086823856620654,0.9067133964876216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.9420603128991524,0.849579200841022,0.9003603526200855,0.9268025051507977,0.9533341050490308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.9354378252713144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.9553922207408626,0.9156170633236091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.9349027083797544,0.9081905563441708,0.9273400467908604,0.9520818931343716,0.9378538218456808,0.9100267155061456,0.9185709999293608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.9503365552727702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.9141861989047888,0.9429095231474992,0.8838526759324088,0.8820613401336718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.9513209348072592,0.907027949522318,0.9061779264056048,0.8902493321531314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.9306062285923212,0.9469810348109824,0.904388197457914,0.8708432496189908,0.922596714380668,0.937809727058415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.8753949966513148,0.9136496947711096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.9220160554427468,0.9353034335710372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.9370033571995836,0.9429098336540208,0.9270721600632912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.8795557216262144,0.9010329320447292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.9443411778316364,0.9332463008061485,0.921987920310924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.9655934983821778,0.8584421077300259,0.9218367272564552,0.904348022779794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0.9090854699939528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
