,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
37,0.9029103515761404,0.9088087365955502,0.918883401255771,0.9272499262694,0.912485012258944,0.9356612486276406,0.9092191610971336,0.917764732357526,0.9029556262985612,0.9359298383171956,0.9210755572014064,0.927652568594546,0.908324594601812,0.9015238036990746,0.9525736184968682,0.9513655354514652,0.9136038406983308,0.9000024957132828,0.8881918863679147,0.9138277362175896
40,0.9456386249252664,0.9561529601488756,,,,,,,,,,,,,,,,,,
41,0.9586140237386556,0.9622380804811091,,,,,,,,,,,,,,,,,,
42,0.9468019472945058,0.9592847940454718,0.9473834568540224,,,,,,,,,,,,,,,,,
44,0.9355270944510118,0.9675619966118502,0.9533789627065606,0.9445206238322414,,,,,,,,,,,,,,,,
45,0.9452806575420104,0.931861005333772,0.8715916823938156,0.9125308315093388,,,,,,,,,,,,,,,,
46,0.957539899398081,,,,,,,,,,,,,,,,,,,
47,0.928815969740988,,,,,,,,,,,,,,,,,,,
48,0.9368694032180502,,,,,,,,,,,,,,,,,,,
49,0.958524225619781,0.9247890003313476,0.9724391766297744,0.9353040045192422,,,,,,,,,,,,,,,,
50,0.9455043693602996,0.9138290380332468,0.9196009411292676,,,,,,,,,,,,,,,,,
51,0.9096670082139235,0.914722531717176,,,,,,,,,,,,,,,,,,
53,0.9533341050490308,,,,,,,,,,,,,,,,,,,
55,0.9156170633236091,,,,,,,,,,,,,,,,,,,
56,0.9378538218456808,0.9100267155061456,0.9185709999293608,,,,,,,,,,,,,,,,,
59,0.8902493321531314,,,,,,,,,,,,,,,,,,,
60,0.937809727058415,,,,,,,,,,,,,,,,,,,
63,0.9270721600632912,,,,,,,,,,,,,,,,,,,
67,0.904348022779794,,,,,,,,,,,,,,,,,,,
69,0.9475634548981464,0.9118617300243622,,,,,,,,,,,,,,,,,,
72,0.9009452395790256,,,,,,,,,,,,,,,,,,,
81,0.8627367330248189,,,,,,,,,,,,,,,,,,,
