,1,2,3,4,5,6,7,8,9,10,11,12,13,14
37,0.8947229651523843,0.8723527074986342,0.8861771707898022,0.8541429974239365,0.8778558660338619,0.878080459385678,0.8958867358413681,0.9192410624776576,0.903313326089936,0.8779454640050646,0.897138667201297,0.8846117717831777,0.8982125012161435,0.8915459807520782
40,0.9184806102106476,,,,,,,,,,,,,
41,0.9277867469287472,,,,,,,,,,,,,
42,0.9130221552791092,0.938659162517112,,,,,,,,,,,,
43,0.9087715074199498,0.9283682947217478,,,,,,,,,,,,
44,0.9213888241583172,0.9043868482959376,,,,,,,,,,,,
46,0.910518242823471,0.9271156302960826,0.9338267167316012,,,,,,,,,,,
50,0.8754863482147194,0.8915919908487456,0.9297999005708822,0.9028662314526236,0.9134693016120266,,,,,,,,,
51,0.9308289830462274,,,,,,,,,,,,,
52,0.8994657580534484,0.9086823856620654,0.9067133964876216,,,,,,,,,,,
53,0.849579200841022,0.9003603526200855,0.9268025051507977,,,,,,,,,,,
58,0.8838526759324088,0.8820613401336718,,,,,,,,,,,,
59,0.907027949522318,0.9061779264056048,,,,,,,,,,,,
60,0.904388197457914,0.8708432496189908,0.922596714380668,,,,,,,,,,,
61,0.8753949966513148,0.9136496947711096,,,,,,,,,,,,
64,0.8795557216262144,0.9010329320447292,,,,,,,,,,,,
65,0.921987920310924,,,,,,,,,,,,,
67,0.8584421077300259,0.9218367272564552,,,,,,,,,,,,
69,0.919554357886111,,,,,,,,,,,,,
70,0.9046553140182776,,,,,,,,,,,,,
73,0.8939186862012397,,,,,,,,,,,,,
75,0.8899815105214617,,,,,,,,,,,,,
