,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,136.23994147768838,74.4616612356188,73.56786593070426,71.3333776684179,79.31369289086919,136.77196249251844,102.40340493449492,80.05852231163131,132.62219857684377,119.85369422092172,112.72461262219858,116.6615681319412,101.65575014758384,88.25513732325078,94.09945745368678,87.4286678098558,67.2391982683496,63.81525314142748,128.51600933292104,131.5857532398167,68.89213729513958,120.25131419897112,182.2048882397692,154.7968136590629,117.73065565467914,130.26006117728775,137.30785178375507,135.21961752998698,104.8967159700627,134.78456872711865,145.3562546368196,140.1791738826862,110.4218357664908,78.40224387537992,78.40224387537992,48.07934231545565,48.07934231545565,40.68351266669363,40.68351266669363,45.25152509681135
40.0,133.04781538870785,79.14182684025613,79.14182684025613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,124.21626654252844,126.5571590077808,131.87736915608167,131.494314025404,126.02513799295072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,119.91753674270132,100.2979788041492,98.7040733140303,65.52479931047664,63.2625455355612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,99.74329986034448,128.89805147303318,56.02282630084615,70.96290934633106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,83.18680587883222,114.32067566668884,114.53348407262088,124.42907494846048,65.76335985157282,49.82430495038372,77.66266091050372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,86.83833244314508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,77.29201303451487,91.55017623196116,126.87637161667884,96.01915275653388,74.61839035223343,134.17550040310292,60.69575759863791,41.18381878999224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,95.5935359446698,110.94389432993282,62.56646745097184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
