,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
37.0,101.65575014758384,88.25513732325078,94.09945745368678,87.4286678098558,67.2391982683496,63.81525314142748,128.51600933292104,131.5857532398167,68.89213729513958,120.25131419897112
42.0,100.2979788041492,98.7040733140303,,,,,,,,
43.0,56.02282630084615,,,,,,,,,
44.0,65.76335985157282,49.82430495038372,,,,,,,,
45.0,86.83833244314508,,,,,,,,,
46.0,74.61839035223343,,,,,,,,,
48.0,63.461051921401065,86.0118629297501,,,,,,,,
52.0,33.76718297585247,78.57363730919518,29.339667725522165,34.03283389087229,,,,,,
53.0,14.271357490231356,,,,,,,,,
57.0,21.94571725747055,27.39156101537683,,,,,,,,
60.0,13.72529727602395,13.72529727602395,,,,,,,,
62.0,17.48868523880471,,,,,,,,,
64.0,16.17518904787339,,,,,,,,,
66.0,9.592949709048998,,,,,,,,,
68.0,13.607230202681809,,,,,,,,,
69.0,18.46273859387738,,,,,,,,,
70.0,13.105445140977707,,,,,,,,,
71.0,15.112585387794113,9.82908385573328,,,,,,,,
79.0,24.292300340145616,,,,,,,,,
85.0,13.607230202681809,,,,,,,,,
