,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
37.0,0.9148821849813282,0.923446684100754,0.932908919053938,0.931726806877154,0.9374683490827758,0.8938763789397283,0.9114686557353144,0.9239251256437536,0.905505976917536,0.920289666459352,0.9107190429791728,0.9228415580766296,0.8901531990032002,0.8534110871117981,0.8937110681539001,0.8906698981895226,0.8435261981563703,0.875591457133491,0.9177083297805998,0.89121516261076,0.8841231983716208,0.9029654863221788,0.8925073806245613,0.8922780500381435,0.8679268591968632,0.9072346656129032,0.9145907135171696,0.8951967779760976,0.9128360405112246,0.9169267126722142,0.8719329014982145,0.9115509033319524,0.9345579591076056,0.8912784375693533,0.9343935850648968,0.9132608932751712,0.8741984756614051,0.9297757859438278,0.931942104263065,0.938732497902318,0.961166741245744,0.941698734613866,0.9487154647982384,0.9572424983083192,0.9599285486178536,0.9488786705603894,0.95746300347612,0.9717958348047966,0.9769681778528696,0.964086360548052,0.9731796983314562,0.963812535581214,0.9491855717399744
39.0,0.8985743189327584,0.904839528839788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,0.9402758614226416,0.9013178624913704,0.9701154737687668,0.9627786798089653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,0.94178873433561,0.9304302602396805,0.9414910959519878,0.9458471930114528,0.9414903042563946,0.8877977186928532,0.8909205694080258,0.915126404277842,0.9232168485673552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,0.9492783475364728,0.8961383748334989,0.8943655939258099,0.8960379423074013,0.9216567866372846,0.9352335714497396,0.9479078486572272,0.9765103849186054,0.9779031031333774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,0.9310676616279996,0.9242036920669838,0.9185195765799417,0.904736070210802,0.9574120548198156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,0.9339927968150764,0.9407664484619672,0.9433763691335512,0.9258240827018334,0.8882969830479157,0.9337018795103004,0.9432908529533116,0.9243802610570764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,0.9067241663918264,0.9073271782668106,0.928354848341782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,0.9452553936185114,0.9405793533129936,0.931384434687142,0.9586744347243288,0.9249898825948232,0.9578080396672702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,0.9398937552115544,0.9591766184802288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,0.9501572133869876,0.944461590228228,0.9160387307532202,0.9321841720365908,0.9395844053508962,0.9413579298943736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
