,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
37.0,0.8617203527120793,0.9056847110777932,0.92957658025077,0.8834035928283122,0.9289055924299652,0.9067138181920668,0.859603492807835,0.9203169606495348,0.9263551974939676,0.9321717366773468,0.9562427579870366,0.9352600348101324,0.942999146477714,0.95212646496621,0.9561977525625208,0.9450569181867172,0.9536474707883972,0.9693070277723956,0.97561557059285,0.9602245710361796,0.9711861126243588,0.9613851205290276,0.9454596235028704
40.0,0.9673832156508902,0.9588377616728576,,,,,,,,,,,,,,,,,,,,,
41.0,0.9151166321951792,,,,,,,,,,,,,,,,,,,,,,
42.0,0.944385931636224,0.9752129077312875,0.9765551701262388,,,,,,,,,,,,,,,,,,,,
43.0,0.9534685273422316,,,,,,,,,,,,,,,,,,,,,,
44.0,0.9170939960738712,,,,,,,,,,,,,,,,,,,,,,
46.0,0.9544976473515552,,,,,,,,,,,,,,,,,,,,,,
47.0,0.9562871254169734,,,,,,,,,,,,,,,,,,,,,,
48.0,0.9344086987145954,0.9368247262653748,,,,,,,,,,,,,,,,,,,,,
51.0,0.9424621845972246,0.9552134804940822,,,,,,,,,,,,,,,,,,,,,
54.0,0.9521260928113802,,,,,,,,,,,,,,,,,,,,,,
56.0,0.9334490487562216,,,,,,,,,,,,,,,,,,,,,,
