,1,2,3,4,5,6,7,8,9,10,11,12
37.0,19.807251427397816,10.82957804551539,21.73775655577299,28.242010457516344,28.267685906993265,15.503775235089108,27.683518714778373,21.41824345847553,21.77817624521073,29.17672480304266,20.6992600260336,18.63022613850714
40.0,29.860153154938885,,,,,,,,,,,
41.0,35.73614037204625,25.073354589371988,19.96527445516256,32.13186666666667,36.46292968036529,,,,,,,
42.0,38.39509727626459,,,,,,,,,,,
43.0,36.42062661782661,27.49266476733144,,,,,,,,,,
44.0,21.713759893758308,33.504127327327325,42.08399927816448,28.73831778536216,,,,,,,,
46.0,41.58341960784313,25.07860616584874,36.98025652219104,41.38180488674871,,,,,,,,
47.0,37.18129665211063,,,,,,,,,,,
48.0,38.422998077353,29.4265513002364,,,,,,,,,,
49.0,35.53245435244162,,,,,,,,,,,
50.0,32.569235411020784,25.347726237161524,,,,,,,,,,
52.0,42.683288665549966,,,,,,,,,,,
54.0,56.25134001966569,,,,,,,,,,,
55.0,53.93332189218922,,,,,,,,,,,
56.0,41.73839963527419,,,,,,,,,,,
58.0,42.136991337099815,,,,,,,,,,,
59.0,47.75398120777466,51.41172352406903,,,,,,,,,,
60.0,37.730670599983696,,,,,,,,,,,
63.0,49.29202818428185,,,,,,,,,,,
65.0,63.603834162520734,,,,,,,,,,,
66.0,46.60258621659634,,,,,,,,,,,
67.0,66.41002909672261,40.81567721766315,74.26999452054794,,,,,,,,,
74.0,54.58079379844962,,,,,,,,,,,
77.0,66.79655008726003,,,,,,,,,,,
