,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,95.94578996979784,108.37870072908451,97.27314699036224,77.6282630860089,82.05278648789027,82.62797453013486,88.75593944174058,106.45403304926612,109.21936017544198,113.1571860031164,106.122193794125,95.72456379970376,80.94665563741994,106.56464613431316,114.04209068349267,119.94882942500432,108.99813400534792,99.81724794644404,106.01158070907798,99.88361579747226,107.44955081468945,106.6752592193602,102.05321103210407,85.00768548256083,67.32982592069581,70.57397433173792,113.18778820559602,110.71343772259782,89.43402356881319,92.62318641356644,98.20422139188464,103.34537183989202,114.28749953137302,109.11885630022118,113.70497707887372,94.47620749544303,95.1330909284174,78.86029679337126,65.15531971449757
40.0,100.41455860569802,118.46661408537408,75.1377763337124,56.82484345086844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,75.74261756288973,52.55510113653523,58.85521042551639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,44.31836642881243,55.4529436023044,60.85571906230188,79.7261885913829,53.510567948134266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,90.083296462305,100.76852047784854,97.22890175634345,72.49846915184763,75.66013921345646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,88.09226093145837,98.71111709597368,112.8032241309659,63.095937316454425,94.27275340223191,52.19680108218559,61.24387745451399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,100.76852047784854,88.53471327164651,54.94376816553282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,99.15356943616185,97.60498624550334,33.65116656877569,80.33391234800864,86.35483185663763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,70.46053517496105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,91.74249273801053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,67.4518592616817,83.66773752957698,44.76207495443057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,83.64561491256758,47.94741380387648,47.94741380387648,59.16446932680172,47.17761587583259,104.3351120330913,66.34008572749653,37.59607386743779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,68.77921628224613,61.08054556297252,73.32325264618038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,46.03716599657581,68.04463828245085,71.50872895864835,64.52556203996451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,21.48106111613412,16.6606265855213,87.01465865210382,51.19156221491858,11.410311562051636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,45.77169459246292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,45.99292076255699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,14.147413577515728,18.007810245657236,33.405151684204455,31.281380451301388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,27.277186772598736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,36.4359502144932,9.258315218436795,7.244348358555879,72.27852688669223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,5.679981917165228,66.3125929443521,5.416078279451644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,4.866975742069523,2.687897966642941,5.106784469076867,70.02411866884943,6.233988577998275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,90.31379262943476,7.773584434086052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,4.972058172864206,27.32143200661755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,14.645172460227384,4.60150433795664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,5.15489683957961,54.24326114394971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,13.893003481907549,4.822730508050709,38.1324902213169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,5.508531635342324,6.371452493720399,6.983166918683845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,9.933055037223708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,2.387030375315007,6.609131831560318,12.410788142277283,8.509016383199409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,80.08647729970882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,4.994180789873613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,3.1391993536348424,6.255169959409807,7.773584434086052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,5.856962853240483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,95.17149837446858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,8.11724422339136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,6.255169959409807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
